round_id,turn,N,Nnf,roundName,first,hole,board,Nsim,prWin,prWinStd,chips,reld,pot,bet,minBet,sumPot_all,sumBet_all,maxBet_all,N_maxBet_all,N_canraise,sumMinBet_all,util_fold,util_call,util_raise_coeff,util_call2,util_raise_coeff2,action,amount,cputime
1,0,8,7,deal,0,♠K ♦2,,20000,0.11668750000000007,0.2897714756951585,980,0,0,20,48,0,392,68,4,7,84,-20,-12.456749999999964,-0.1831874999999995,-22.25849999999997,-0.7666249999999999,call,0,0.9296960830688477
1,1,8,7,deal,0,♠K ♦2,,20000,0.11668750000000007,0.2897714756951585,932,0,0,68,60,0,793,128,5,7,103,-68,-23.447999999999936,-0.1831874999999995,-35.466812499999946,-0.7666249999999999,call,0,0.09802675247192383
1,2,8,7,flop,0,♠K ♦2,♥2 ♦J ♥5,66,0.07575757575757576,0.2646098363117118,872,0,128,0,100,896,100,100,1,7,600,-128,-107.0909090909091,-0.4696969696969697,-152.54545454545456,-0.8484848484848485,call,0,1.2337861061096191
1,3,8,6,flop,0,♠K ♦2,♥2 ♦J ♥5,311,0.11200428724544481,0.3129551524671186,772,0,128,100,772,896,2244,872,2,0,3088,-228,-302.43729903536973,-1.0,-648.3065380493033,-0.7759914255091104,fold,0,1.2435736656188965
2,0,8,8,deal,0,♥9 ♠J,,20000,0.1445875000000004,0.31777766505539046,762,0,0,10,122,0,506,132,2,8,550,-10,20.68440000000041,0.15670000000000317,-58.8387249999998,-0.7108249999999992,raise,0,0.12248826026916504
2,1,8,7,flop,1,♥9 ♠J,♦4 ♠A ♦6,42,0.023809523809523808,0.1524553389864964,508,0,264,0,20,1980,0,0,8,7,0,-264,-236.85714285714286,-0.8333333333333334,-236.85714285714286,-0.9523809523809523,call,0,1.2317941188812256
2,2,8,7,flop,0,♥9 ♠J,♦4 ♠A ♦6,314,0.03821656050955414,0.1917186871756995,488,0,264,20,716,1980,1652,736,2,2,3272,-284,-508.1528662420382,-0.9235668789808917,-633.1974522292994,-0.9235668789808917,fold,0,1.2479960918426514
3,0,8,7,deal,0,♥7 ♦6,,20000,0.12510555555555597,0.3006998585633505,488,0,0,0,78,0,333,78,3,7,213,0,-9.692366666666445,-0.12426111111110827,-36.33984999999986,-0.7497888888888881,fold,0,0.11451888084411621
4,0,8,8,deal,0,♣K ♣5,,20000,0.1727888888888885,0.3470144122484015,488,0,0,0,100,0,300,100,2,8,500,0,38.231111111110806,0.38231111111110794,-48.163333333333455,-0.654422222222223,raise,0,0.10647273063659668
4,1,8,8,deal,0,♣K ♣5,,20000,0.1727888888888885,0.3470144122484015,288,0,0,200,200,0,2000,400,2,8,1200,-200,152.92444444444322,0.38231111111110794,-54.42222222222301,-0.654422222222223,raise,0,0.09524989128112793
