round_id,turn,N,Nnf,roundName,first,hole,board,Nsim,prWin,prWinStd,chips,reld,pot,bet,minBet,maxBet,sumPot_all,sumBet_all,maxBet_all,N_maxBet_all,N_canraise,sumMinBet_all,util_fold,util_call,util_raise_coeff,util_call2,util_raise_coeff2,maxRoundBet,action,amount,cputime
1,0,4,3,deal,0,♠A ♥6,,20000,0.2996297619048037,0.331543398478666,990,0,0,10,10,1000,0,50,20,2,3,10,-10,-2.022214285711776,-0.10111071428558882,-5.018511904759814,-0.40074047619039255,355.4646936491613,call,0,0.10414409637451172
1,1,4,3,flop,1,♠A ♥6,♦6 ♣J ♥A,26,0.8076923076923077,0.39411349099844606,980,0,20,0,20,980,60,0,0,4,3,0,-20,8.46153846153846,1.4230769230769234,8.46153846153846,0.6153846153846154,1640.0005927171358,raise,0,1.239013910293579
1,2,4,2,turn,1,♠A ♥6,♦6 ♣J ♥A ♥9,23,0.9347826086956522,0.2238180465431957,960,0,40,0,20,960,100,0,0,4,2,0,-40,33.47826086956522,0.8695652173913044,33.47826086956522,0.8695652173913044,2697.46606880973,raise,0,1.2329020500183105
1,3,4,2,river,1,♠A ♥6,♦6 ♣J ♥A ♥9 ♦K,38,0.9078947368421053,0.2775660935490656,940,0,60,0,20,940,140,0,0,4,2,0,-60,47.10526315789474,0.8157894736842106,47.10526315789474,0.8157894736842106,2340.456203017513,raise,0,1.2376518249511719
2,0,4,3,deal,0,♠10 ♠6,,20000,0.26797500000002167,0.34623491051641775,1100,0,0,0,20,1100,0,30,20,1,3,30,0,-3.9214999999987015,-0.19607499999993494,-11.96074999999935,-0.46404999999995666,322.7978373075415,fold,0,0.09211397171020508
3,0,4,4,deal,0,♠5 ♥3,,20000,0.21658154761906118,0.31507732706498615,1100,0,0,0,20,1100,0,30,20,1,4,50,0,-2.6734761904751068,-0.1336738095237553,-13.502553571428166,-0.5668369047618776,252.5839002584692,fold,0,0.10275077819824219
4,0,4,4,deal,0,♣A ♥Q,,20000,0.3817708333333927,0.3576421211367939,1080,0,0,20,0,1100,0,80,20,4,4,0,-20,10.541666666671414,0.5270833333335707,10.541666666671414,-0.23645833333321464,494.4233201161765,raise,0,0.09760689735412598
4,1,4,4,flop,0,♣A ♥Q,♣8 ♥9 ♠A,43,0.7441860465116279,0.42278276657436836,1060,0,40,0,20,1060,160,20,20,1,4,60,-40,118.6046511627907,1.9767441860465116,73.95348837209303,0.4883720930232558,1392.551950014602,raise,0,1.2404510974884033
4,2,4,2,turn,0,♣A ♥Q,♣8 ♥9 ♠A ♣Q,48,0.71875,0.4318835925339142,1020,0,80,0,20,1020,240,20,20,1,2,20,-80,101.25,0.4375,86.875,0.4375,1278.7872390061725,raise,0,1.2369439601898193
4,3,4,2,river,0,♣A ♥Q,♣8 ♥9 ♠A ♣Q ♠2,68,0.9411764705882353,0.23529411764705885,980,0,120,0,20,980,320,20,20,1,2,20,-120,198.8235294117647,0.8823529411764706,180.0,0.8823529411764706,2818.3345487249394,raise,0,1.2408089637756348
5,0,4,3,deal,0,♥Q ♠Q,,20000,0.5443863095238038,0.3052789953578024,1320,0,0,20,20,1340,0,100,40,2,3,20,-20,25.326357142856466,0.6331589285714116,14.438630952380386,0.08877261904760769,871.2010810013871,raise,0,0.08903193473815918
5,1,4,2,flop,1,♥Q ♠Q,♦10 ♦8 ♠6,28,0.39285714285714285,0.48838551182776224,1260,0,80,0,40,1260,200,0,0,4,2,0,-80,-41.42857142857143,-0.2142857142857143,-41.42857142857143,-0.2142857142857143,543.0095392396495,call,0,1.2381999492645264
5,2,4,2,turn,1,♥Q ♠Q,♦10 ♦8 ♠6 ♥J,29,0.46551724137931033,0.49009208288109984,1220,0,120,0,40,1220,280,0,0,4,2,0,-120,-29.65517241379311,-0.06896551724137934,-29.65517241379311,-0.06896551724137934,673.3537951053969,call,0,1.2402889728546143
5,3,4,2,river,1,♥Q ♠Q,♦10 ♦8 ♠6 ♥J ♥A,43,0.5813953488372093,0.49333031245573084,1180,0,160,0,40,1180,360,0,0,4,2,0,-160,9.302325581395365,0.16279069767441867,9.302325581395365,0.16279069767441867,924.3930781940138,raise,0,1.2375266551971436
6,0,4,3,deal,0,♣J ♣10,,20000,0.4000910714286231,0.3790426274315605,1580,0,0,0,40,1580,0,60,40,1,3,60,0,8.010928571434775,0.2002732142858692,-15.994535714282613,-0.1998178571427538,610.6350635309999,raise,0,0.09276437759399414
